,youtuber,subscribers,name,upload_date,hits,likes_num,dislikes_num,youtuber_id,clean_name
103,승우아빠 ,442000000,세상 간단한 어묵 요리 9가지,2019-12-09,436134,520000,151,1,세상 간단하다 어묵 요리 가지
104,승우아빠 ,442000000,미슐랭 고소사건 정리 / 오뚜기는 어떻게 농심을 이겼을까? / 2차 만두 전쟁 이야기,2019-12-08,176367,350000,113,1,미슐랭 고소 사건 정리 오뚜기 어떻다 농심 이기 차 만두 전쟁 이야기
105,승우아빠 ,442000000,와플기계로 어묵 핫바 만들기,2019-12-06,291497,360000,92,1,와플 기계로 어묵 핫바
106,승우아빠 ,442000000,지옥에서 온 맷돌과 어처구니가 없는 나,2019-12-04,239174,40000,63,1,지옥 온 맷돌 어처구니 없다 나
107,승우아빠 ,442000000,이 사람들은 하루종일 무슨일을 하는걸까,2019-12-02,203776,290000,59,1,사람 들다 하루 종일 무슨 일 걸다
108,승우아빠 ,442000000,배달음식은 언제쯤 마음편히 먹을 수 있을까,2019-12-01,81451,160000,31,1,배달 음식 언제 쯤 마음 편하다 먹다 수 있다
109,승우아빠 ,442000000,세상 간단한 김치 요리 레시피 9가지,2019-11-29,283778,450000,98,1,세상 간단하다 김치 요리 가지
110,승우아빠 ,442000000,승우아빠 스테이크영상 저격합니다,2019-11-27,257292,460000,104,1,승 우 아빠 스테이크 영상 저격
111,승우아빠 ,442000000,직업이 뭐냐고 세번째 물어봅니다,2019-11-26,193265,470000,49,1,직업 뭐 냐 고 세번 째다 물어보다
112,승우아빠 ,442000000,수비드 초보를 위한 설명서 / 여러가지 스테이크 수비드로 구워보기,2019-11-25,102240,190000,28,1,수비드 초보 위 설명 서다 여러가지 스테이크 수비드 굽다 보기
113,승우아빠 ,442000000,누가 제일 잘 나갈까?,2019-11-24,88096,180000,32,1,누가 제일 자다 나가다
114,승우아빠 ,442000000,흑당/마라/곱창/삼겹살/치즈불닭 호빵,2019-11-22,105048,170000,23,1,흑 당 마 라 곱창 삼겹살 치즈 불닭 호빵
115,승우아빠 ,442000000,가성비 좋은 돼지고기 뒷고기요리 5가지,2019-11-20,152829,240000,36,1,가성 비 좋다 돼지고기 뒷 고 기 요리 가지
116,승우아빠 ,442000000,나라별 인기 피자들과 가짜치즈 이야기,2019-11-19,175329,240000,70,1,나라 별 인기 피자 들다 가짜 치즈 이야기
117,승우아빠 ,442000000,이제 라면을 먹을때도 광고를 봐야한다구요?,2019-11-18,102059,160000,49,1,이제 라면 먹다 때 광고 보다 야하다
118,승우아빠 ,442000000,세계 최고 레스토랑 평가기관 미슐랭 가이드의 별 장사 의혹 정리,2019-11-17,107263,190000,42,1,세계 최고 레스토랑 평가 기관 미슐랭 가이드 별 장사 의혹 정리
119,승우아빠 ,442000000,구독자들이 자꾸 제 채널을 저격합니다,2019-11-15,153377,250000,53,1,구 독자 들다 자꾸 제 채널 저격
120,승우아빠 ,442000000,세상 간단한 새우요리 11가지,2019-11-15,277317,40000,54,1,세상 간단하다 새우 요리 가지
121,승우아빠 ,442000000,세상 간단한 족발 보쌈 레시피,2019-11-13,276913,390000,92,1,세상 간단하다 족발 보쌈
122,승우아빠 ,442000000,수능 대박을 위한 엿 만들기,2019-11-11,123977,260000,29,1,수능 대박 위 엿
123,승우아빠 ,442000000,콩맛나는 계란과 가짜고기의 미래,2019-11-10,68082,120000,18,1,콩맛 나 계란 가짜 고기 미래
124,승우아빠 ,442000000,수타짜장면에 도전해 보았습니다,2019-11-08,237437,350000,75,1,수 타 짜장면 도전 보다
125,승우아빠 ,442000000,냉장고에 보관하면 더 빨리 상하는 음식들이 있다?,2019-11-06,116480,220000,32,1,냉장고 보관 더 빨리 상하 음식 들다 있다
126,승우아빠 ,442000000,세계 13대 샌드위치는 왜 이모양일까?,2019-11-04,178754,240000,72,1,세계 대다 샌드위치 왜 모양
127,승우아빠 ,442000000,아이스크림 꼰머가 이야기하는 상추맛우유의 진실,2019-11-03,87492,160000,24,1,아이스크림 꼰머 이야기 상추 맛 우유 진실
128,승우아빠 ,442000000,세상 모든 붕어빵 유형 31가지,2019-11-01,354161,710000,128,1,세상 모든 붕어빵 유형 가지
129,승우아빠 ,442000000,수제 소세지요리 4가지,2019-10-30,122394,150000,43,1,수제 소세지 요리 가지
130,승우아빠 ,442000000,한국인은 누구보다 향신료를 사랑하면서 왜 싫어한다고 말할까?,2019-10-28,164255,280000,65,1,한국인 누구 보다 향신료 사랑 왜 싫어하다 말
131,승우아빠 ,442000000,선을 넘는 신제품들이 계속 출시되는 이유와 가성비 전쟁의 서막,2019-10-27,126883,210000,39,1,선 넘다 신제품 들다 계속 출시 되다 이유 가성 비 전쟁 서막
132,승우아빠 ,442000000,세상 간단한 국수 레시피 10가지,2019-10-25,449392,590000,181,1,세상 간단하다 국수 가지
133,승우아빠 ,442000000,대패 삼겹살을 더 맛있게 먹는 5가지 방법,2019-10-23,340126,50000,108,1,대패 삼겹살 더 먹다 가지 방법
134,승우아빠 ,442000000,시나몬 향은 고급스러운데 계피향은 아저씨 같아요,2019-10-21,238634,380000,66,1,시나몬 향 고급스럽다 계피 향 아저씨 같다
135,승우아빠 ,442000000,내 음식을 멋대로 훔쳐먹는 배달부들의 충격적인 행태,2019-10-20,220397,260000,88,1,내 음식 멋대로 훔치다 먹다 배달 부들 충격 적 인 행태
136,승우아빠 ,442000000,분말 짜장으로 만드는 짜장요리 5가지,2019-10-18,173853,220000,50,1,분말 짜장 만들다 짜장 요리 가지
137,승우아빠 ,442000000,세상 거대한 미트볼 요리 6가지,2019-10-16,250198,280000,59,1,세상 거대하다 미트볼 요리 가지
138,승우아빠 ,442000000,맥도날드 빅맥을 집에서 만들어서 비교해 보았다,2019-10-14,204955,430000,70,1,맥도날드 빅맥 집 만들다 비교 보다
139,승우아빠 ,442000000,박카스와 핫식스를 10위권 밖으로 만드는 고카페인 음료 랭킹 20위를 알아보자,2019-10-13,222297,280000,82,1,박카스 핫식스 위 권 밖 만들다 고 카페인 음료 랭킹 위 알아보다
140,승우아빠 ,442000000,세상 간단한 에어프라이요리 10가지,2019-10-11,362921,510000,121,1,세상 간단하다 에어 프라이 요리 가지
141,승우아빠 ,442000000,제육볶음을 쌈싸먹는 색다른 방법,2019-10-09,336539,290000,74,1,제 육 볶음 쌈 싸다 먹다 색다르다 방법
142,승우아빠 ,442000000,당신의 요리실력을 망치는 인터넷 레시피의 문제점,2019-10-07,101992,20000,60,1,당신 요리실 력 망치 인터넷 문제점
143,승우아빠 ,442000000,라이스버거 재출시? 롯데리아의 큰그림은 무엇일까,2019-10-06,111572,150000,41,1,라이스버거 재 출시 롯데리아 크다 그림 무엇
144,승우아빠 ,442000000,게임 요리책을 그대로 따라해 보았습니다 (꿀이끼/언더시티 팬케이크) feat.신사임당,2019-10-04,229160,370000,72,1,게임 요리 책 그대로 따르다 보다 꿀 이끼 언 더시티 팬케이크 신사임당
145,승우아빠 ,442000000,세상 간단한 스팸요리 8가지,2019-10-02,3543015,42000,1500,1,세상 간단하다 스팸 요리 가지
146,승우아빠 ,442000000,알아두면 쓸데있는 치즈 상식들,2019-10-01,128178,260000,38,1,알 아두 면 쓸다 치즈 상식 들다
147,승우아빠 ,442000000,파스타의 함정에서 빠져 나오는 시간만 14400초,2019-09-30,233217,30000,44,1,파스타 함정 빠지다 나오다 시간 초
148,승우아빠 ,442000000,수직 상승하는 에어프라이어 시장과 재도약하는 아웃백스테이크 그리고 라이스버거 이야기,2019-09-28,116170,160000,31,1,수직 상승 에어 프라이어 시장 재도 약하다 아웃백 스테이크 그리고 라이스버거 이야기
149,승우아빠 ,442000000,떡볶이를 천상계로 끌어올리는 셰프의 킥 두가지,2019-09-26,168885,230000,80,1,떡볶이 천상계 끄다 오다 리다 셰프 킥 두 가지
150,승우아빠 ,442000000,세상 간단한 북어채요리 8가지,2019-09-25,76191,150000,24,1,세상 간단하다 북어 채 요리 가지
151,승우아빠 ,442000000,도미탕수 만들다 일어난 일,2019-09-24,88735,110000,26,1,도미 탕수 만들다 일어나다 일
152,승우아빠 ,442000000,세상 간단한 소세지 야채볶음,2019-09-23,255955,330000,89,1,세상 간단하다 소세지 야채 볶음
153,승우아빠 ,442000000,셰프가 생각하는 TV 요리프로의 문제점,2019-09-22,104739,150000,32,1,셰프 생각 요리 프로 문제점
154,승우아빠 ,442000000,알아두면 쓸떼있는 향신료 상식들,2019-09-20,74491,180000,23,1,알 아두 면 쓸다 떼다 향신료 상식 들다
155,승우아빠 ,442000000,아무 닭이나 교촌치킨 맛이되는 기적의 레시피,2019-09-19,229655,350000,97,1,아무 닭 이나 교촌치킨 맛 되다 기적
156,승우아빠 ,442000000,한우가 점점 비싸지는 이유,2019-09-18,177848,240000,73,1,한우 점점 비싸다 이유
157,승우아빠 ,442000000,기름에 빠진 오리 구출하기,2019-09-17,225836,230000,59,1,기름 빠지다 오리 구출
